participant_id,face_id,theta,rank,standard_error,weight
SIM_003,BF-007,0.4598094323024643,5,0.4358757377586726,0.0495914177555388
SIM_003,BF-242,-0.6108840620871726,20,0.441774927044698,0.0169984862376569
SIM_003,BF-255,0.306110801749466,8,0.4325904539519014,0.0425261490751503
SIM_003,BM-211,0.4598094323024642,7,0.4358757377586729,0.0495914177555388
SIM_003,BM-212,-1.7404711239854709,25,0.5220447446390428,0.0054933443064768
SIM_003,BM-213,-0.6108840620871727,22,0.4417749270446981,0.0169984862376569
SIM_003,BM-214,0.1545860784815906,13,0.4307236316640494,0.0365468294111654
SIM_003,BM-215,0.0040587809228536,16,0.430203335975555,0.0314395652097138
SIM_003,BM-216,0.1545860784815906,10,0.4307236316640495,0.0365468294111654
SIM_003,BM-217,-1.1226676483276108,24,0.4684119618248848,0.0101893260737502
SIM_003,BM-218,0.9476309074618674,2,0.4558283846022656,0.0807727183877668
SIM_003,BM-219,0.0040587809228537,15,0.4302033359755555,0.0314395652097138
SIM_003,BM-221,0.1545860784815906,10,0.4307236316640495,0.0365468294111654
SIM_003,BM-222,0.6169593118830632,3,0.4407043380445373,0.0580304381870837
SIM_003,BM-223,0.306110801749466,9,0.4325904539519012,0.0425261490751503
SIM_003,BM-224,-0.452853880799563,18,0.4366977123159851,0.0199086533024712
SIM_003,BM-225,0.1545860784815906,14,0.4307236316640495,0.0365468294111654
SIM_003,BM-226,-0.9439555221937392,23,0.4573166656496934,0.0121831376414965
SIM_003,BM-227,0.6169593118830631,4,0.4407043380445374,0.0580304381870837
SIM_003,BM-228,0.4598094323024643,5,0.4358757377586729,0.0495914177555388
SIM_003,BM-229,0.1545860784815906,10,0.4307236316640495,0.0365468294111654
SIM_003,BM-231,-0.1465993586992877,17,0.4310045492752593,0.0270424809651521
SIM_003,BM-236,1.7378062151787737,1,0.5203512036697558,0.1780055220411044
SIM_003,BM-237,-0.4528538807995631,19,0.4366977123159849,0.0199086533024712
SIM_003,BM-239,-0.6108840620871726,20,0.4417749270446982,0.0169984862376569
