participant_id,face_id,theta,rank,standard_error,weight
SIM_002,BF-007,0.4721233895965034,7,0.4403975857632261,0.0474770188652782
SIM_002,BF-242,-0.7944261734866547,21,0.4529101559175533,0.013379132506646
SIM_002,BF-255,0.314480695238411,8,0.4372817432638553,0.0405527293372974
SIM_002,BM-211,0.9706112341412008,2,0.4595480223971452,0.0781580942802141
SIM_002,BM-212,-1.5494504475601054,25,0.5021671504677496,0.0062881816523741
SIM_002,BM-213,-1.149933246623332,23,0.4719617716275877,0.0093763367127208
SIM_002,BM-214,-0.4653205133491699,17,0.4414722311819091,0.0185933107261905
SIM_002,BM-215,0.1588818337606237,12,0.4355374175748534,0.0347091806764065
SIM_002,BM-216,0.0041891103588913,16,0.4350909499171277,0.0297346044737983
SIM_002,BM-217,-0.6274060175133457,19,0.4463779677539118,0.0158111655920746
SIM_002,BM-218,0.7986638244691645,4,0.4513045909387695,0.0658109485268405
SIM_002,BM-219,0.1588818337606237,14,0.4355374175748537,0.0347091806764065
SIM_002,BM-221,0.1588818337606237,12,0.4355374175748538,0.0347091806764065
SIM_002,BM-222,1.770401053332042,1,0.5220321964397129,0.173907481856799
SIM_002,BM-223,0.3144806952384109,9,0.4372817432638556,0.0405527293372974
SIM_002,BM-224,-1.149933246623332,23,0.4719617716275875,0.0093763367127208
SIM_002,BM-225,0.3144806952384108,11,0.4372817432638555,0.0405527293372974
SIM_002,BM-226,-1.1499332466233316,22,0.4719617716275876,0.0093763367127208
SIM_002,BM-227,0.6330498082899776,6,0.4450096783836841,0.0557664369068778
SIM_002,BM-228,0.6330498082899777,5,0.4450096783836841,0.0557664369068778
SIM_002,BM-229,0.1588818337606236,15,0.4355374175748539,0.0347091806764065
SIM_002,BM-231,-0.7944261734866546,20,0.4529101559175534,0.013379132506646
SIM_002,BM-236,0.9706112341412008,2,0.4595480223971453,0.0781580942802141
SIM_002,BM-237,-0.4653205133491699,17,0.441472231181909,0.0185933107261905
SIM_002,BM-239,0.3144806952384109,9,0.4372817432638556,0.0405527293372974
