participant_id,face_id,theta,rank,standard_error,weight
SIM_001,BF-007,0.6634460946105768,7,0.4509949877222942,0.0538849976607003
SIM_001,BF-242,-1.1860662908029134,22,0.4785350339166581,0.0084768567703951
SIM_001,BF-255,0.6634460946105767,8,0.4509949877222939,0.0538849976607003
SIM_001,BM-211,1.19427703593579,2,0.4742258655467564,0.091623065244422
SIM_001,BM-212,-1.1860662908029134,22,0.4785350339166582,0.0084768567703951
SIM_001,BM-213,-1.825855034641286,25,0.5282309692910383,0.0044707267235393
SIM_001,BM-214,1.19427703593579,2,0.4742258655467565,0.091623065244422
SIM_001,BM-215,-0.9981719215952918,21,0.4682033378053223,0.0102290742930389
SIM_001,BM-216,-0.4768140907550377,17,0.4487976536338446,0.0172289639349182
SIM_001,BM-217,-0.4768140907550378,18,0.4487976536338446,0.0172289639349182
SIM_001,BM-218,1.19427703593579,2,0.4742258655467565,0.091623065244422
SIM_001,BM-219,0.6634460946105767,8,0.450994987722294,0.0538849976607003
SIM_001,BM-221,0.3339283834438465,11,0.4440207938837442,0.0387578916856953
SIM_001,BM-222,1.010256814711873,5,0.464398589334083,0.0762229670959127
SIM_001,BM-223,0.4972151168775885,10,0.4468029069553994,0.0456325430291034
SIM_001,BM-224,-1.5964428523392824,24,0.5077326423941116,0.0056235501046194
SIM_001,BM-225,-0.1494992519048228,15,0.4432035956314085,0.0239006763122452
SIM_001,BM-226,-0.6452308882269335,19,0.4536262762874645,0.0145585015186711
SIM_001,BM-227,0.8339424924722593,6,0.4567749856111704,0.0639018620165241
SIM_001,BM-228,0.0116183632151831,13,0.4422667222602627,0.0280790675371725
SIM_001,BM-229,-0.1494992519048228,14,0.4432035956314075,0.0239006763122452
SIM_001,BM-231,-0.3119552420208055,16,0.4453600771652978,0.0203168535553707
SIM_001,BM-236,1.3883736754527936,1,0.4867620984137652,0.1112499735705458
SIM_001,BM-237,0.1724196175698251,12,0.4425312472992833,0.0329775037876074
SIM_001,BM-239,-0.8185086496333224,20,0.4600140958080218,0.0122423023317146
