face_id,gender_self,ethnicity_self,age_self,asian_prob,chinese_asian_prob,japanese_asian_prob,indian_asian_prob,other_asian_prob,middle_eastern_prob,black_prob,latino_prob,multi_prob,other_prob,white_prob,ethnicity_perceived,ethnicity_perceived_probability,ethnicity_perceived_available,face_id_normalised,image_filename,image_stem,image_path,image_model_id,image_exists,selected_for_study
BM-040,M,B,,0.0,,,,,,0.939759036,0.0,0.012048193,0.036144578,0.012048193,Black,0.939759036,True,bm-040,CFD-BM-040-002-N.jpg,CFD-BM-040-002-N,data/raw/cfd/images/CFD-BM-040-002-N.jpg,BM-040,True,True
BM-041,M,B,,0.0,,,,,,0.964705882,0.011764706,0.011764706,0.011764706,0.0,Black,0.964705882,True,bm-041,CFD-BM-041-035-N.jpg,CFD-BM-041-035-N,data/raw/cfd/images/CFD-BM-041-035-N.jpg,BM-041,True,True
BM-043,M,B,,0.0,,,,,,0.93258427,0.033707865,0.033707865,0.0,0.0,Black,0.93258427,True,bm-043,CFD-BM-043-071-N.jpg,CFD-BM-043-071-N,data/raw/cfd/images/CFD-BM-043-071-N.jpg,BM-043,True,True
BM-045,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-045,CFD-BM-045-004-N.jpg,CFD-BM-045-004-N,data/raw/cfd/images/CFD-BM-045-004-N.jpg,BM-045,True,True
BM-046,M,B,,0.0,,,,,,0.921348315,0.0,0.011235955,0.06741573,0.0,Black,0.921348315,True,bm-046,CFD-BM-046-006-N.jpg,CFD-BM-046-006-N,data/raw/cfd/images/CFD-BM-046-006-N.jpg,BM-046,True,True
BM-200,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-200,CFD-BM-200-046-N.jpg,CFD-BM-200-046-N,data/raw/cfd/images/CFD-BM-200-046-N.jpg,BM-200,True,True
BM-201,M,B,,0.0,,,,,,0.961538462,0.0,0.038461538,0.0,0.0,Black,0.961538462,True,bm-201,CFD-BM-201-077-N.jpg,CFD-BM-201-077-N,data/raw/cfd/images/CFD-BM-201-077-N.jpg,BM-201,True,True
BM-202,M,B,,0.0,,,,,,0.962962963,0.037037037,0.0,0.0,0.0,Black,0.962962963,True,bm-202,CFD-BM-202-063-N.jpg,CFD-BM-202-063-N,data/raw/cfd/images/CFD-BM-202-063-N.jpg,BM-202,True,True
BM-203,M,B,,0.038461538,,,,,,0.961538462,0.0,0.0,0.0,0.0,Black,0.961538462,True,bm-203,CFD-BM-203-001-N.jpg,CFD-BM-203-001-N,data/raw/cfd/images/CFD-BM-203-001-N.jpg,BM-203,True,True
BM-205,M,B,,0.0,,,,,,1.0,0.0,0.0,0.0,0.0,Black,1.0,True,bm-205,CFD-BM-205-001-N.jpg,CFD-BM-205-001-N,data/raw/cfd/images/CFD-BM-205-001-N.jpg,BM-205,True,True
