face_id,weight_input_value,rank_by_input_value,included_in_morph,weight,n_manifest_unstable_triangles,n_runtime_skipped_triangles,covered_pixel_fraction,aligned_image_path,aligned_landmark_path
BF-007,0.4721233895965034,7,True,0.04747701886527825,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BF-007.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BF-007.npy
BF-242,-0.7944261734866547,21,True,0.013379132506646036,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BF-242.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BF-242.npy
BF-255,0.314480695238411,8,True,0.04055272933729741,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BF-255.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BF-255.npy
BM-211,0.9706112341412008,2,True,0.07815809428021415,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-211.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-211.npy
BM-212,-1.5494504475601054,25,True,0.006288181652374116,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-212.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-212.npy
BM-213,-1.149933246623332,23,True,0.009376336712720814,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-213.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-213.npy
BM-214,-0.4653205133491699,17,True,0.01859331072619051,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-214.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-214.npy
BM-215,0.1588818337606237,12,True,0.03470918067640651,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-215.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-215.npy
BM-216,0.0041891103588913,16,True,0.029734604473798363,2,2,0.9977264404296875,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-216.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-216.npy
BM-217,-0.6274060175133457,19,True,0.015811165592074634,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-217.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-217.npy
BM-218,0.7986638244691645,4,True,0.06581094852684054,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-218.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-218.npy
BM-219,0.1588818337606237,13,True,0.03470918067640651,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-219.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-219.npy
BM-221,0.1588818337606237,14,True,0.03470918067640651,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-221.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-221.npy
BM-222,1.770401053332042,1,True,0.173907481856799,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-222.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-222.npy
BM-223,0.3144806952384109,9,True,0.04055272933729741,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-223.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-223.npy
BM-224,-1.149933246623332,24,True,0.009376336712720814,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-224.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-224.npy
BM-225,0.3144806952384108,11,True,0.04055272933729741,0,0,1.0,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/images/BM-225.png,/Users/fantine/Documents/Face_Reconstruction/data/interim/aligned_faces/landmarks/BM-225.npy
